iter	Passed	Remaining
0	57	57308
1	57	28752
2	57	19250
3	58	14495
4	58	11645
5	58	9752
6	59	8390
7	59	7379
8	59	6582
9	60	5941
10	60	5421
11	60	4985
12	60	4617
13	61	4303
14	61	4031
15	61	3791
16	61	3580
17	62	3390
18	62	3220
19	62	3069
20	62	2932
21	63	2806
22	63	2692
23	63	2588
24	63	2492
25	64	2405
26	64	2324
27	64	2247
28	65	2177
29	65	2110
30	65	2047
31	65	1988
32	66	1934
33	66	1881
34	66	1832
35	66	1786
36	66	1742
37	67	1700
38	67	1662
39	67	1625
40	67	1589
41	68	1554
42	68	1522
43	68	1492
44	68	1463
45	69	1435
46	69	1407
47	69	1381
48	69	1357
49	70	1333
50	70	1311
51	70	1289
52	70	1268
53	71	1247
54	71	1228
55	71	1208
56	71	1190
57	72	1172
58	72	1155
59	72	1138
60	72	1122
61	73	1106
62	73	1091
63	73	1077
64	73	1062
65	74	1048
66	74	1035
67	74	1021
68	74	1009
69	75	996
70	75	984
71	75	973
72	75	962
73	76	952
74	76	942
75	76	931
76	76	922
77	77	911
78	77	902
79	77	892
80	77	883
81	78	874
82	78	864
83	78	855
84	78	847
85	78	839
86	79	831
87	79	823
88	79	816
89	79	808
90	80	800
91	80	793
92	80	786
93	80	779
94	81	773
95	81	766
96	81	760
97	81	754
98	82	748
99	82	742
100	82	736
101	83	730
102	83	725
103	83	719
104	83	714
105	84	709
106	84	703
107	84	698
108	84	692
109	85	687
110	85	682
111	85	677
112	85	673
113	86	668
114	86	664
115	86	659
116	86	654
117	86	650
118	87	645
119	87	641
120	87	637
121	87	632
122	88	628
123	88	624
124	88	620
125	88	616
126	89	612
127	89	608
128	89	604
129	89	601
130	90	597
131	90	593
132	90	590
133	90	586
134	91	583
135	91	580
136	91	576
137	91	573
138	92	570
139	92	566
140	92	563
141	92	559
142	92	556
143	93	553
144	93	551
145	93	547
146	93	545
147	94	541
148	94	539
149	94	536
150	94	533
151	95	530
152	95	527
153	95	525
154	95	522
155	96	519
156	96	517
157	96	514
158	96	511
159	97	509
160	97	506
161	97	504
162	97	501
163	97	499
164	98	496
165	98	494
166	98	492
167	98	489
168	99	487
169	99	485
170	99	483
171	100	481
172	100	479
173	100	477
174	100	474
175	100	472
176	101	470
177	101	468
178	101	466
179	101	464
180	102	462
181	102	460
182	102	458
183	103	456
184	103	454
185	103	452
186	103	450
187	103	448
188	104	447
189	104	445
190	104	443
191	104	441
192	105	439
193	105	438
194	105	436
195	105	434
196	106	432
197	106	430
198	106	429
199	106	427
200	107	425
201	107	424
202	107	422
203	107	420
204	108	419
205	108	417
206	108	415
207	108	414
208	109	412
209	109	411
210	109	409
211	109	408
212	110	406
213	110	404
214	110	403
